ID,Win,Player 1,Player 2,Player 3,Player 4,Player 5
1060686,TRUE,Ramanujan,PurpleJoe,Markus,,
1060732,FALSE,Ramanujan,PurpleJoe,Markus,,
1061131,TRUE,Ramanujan,PurpleJoe,Markus,,
1061174,TRUE,Ramanujan,PurpleJoe,Markus,,
1061222,TRUE,Ramanujan,PurpleJoe,Markus,,
1061268,TRUE,Ramanujan,PurpleJoe,Markus,,
1061324,TRUE,Ramanujan,PurpleJoe,Markus,,
1061414,TRUE,Ramanujan,PurpleJoe,Markus,,
1063214,TRUE,Ramanujan,PurpleJoe,Markus,Yagami,
1063237,TRUE,Ramanujan,PurpleJoe,Markus,Yagami,
1063409,FALSE,Ramanujan,PurpleJoe,Markus,Yagami,
1064256,TRUE,Ramanujan,PurpleJoe,Markus,,
1064258,TRUE,Ramanujan,PurpleJoe,Markus,,
1064420,TRUE,Ramanujan,PurpleJoe,Markus,,
1064431,TRUE,Ramanujan,PurpleJoe,Markus,,
1064444,FALSE,Ramanujan,PurpleJoe,Markus,,
1064754,TRUE,Ramanujan,PurpleJoe,Markus,Yagami,
1064829,TRUE,Ramanujan,Markus,Yagami,,
1064852,TRUE,Ramanujan,PurpleJoe,Markus,Kilda,
1064865,FALSE,Ramanujan,PurpleJoe,Markus,Kilda,
1064876,FALSE,Ramanujan,PurpleJoe,Markus,Kilda,
1064905,TRUE,Ramanujan,PurpleJoe,Markus,,
1064929,TRUE,Ramanujan,PurpleJoe,Markus,,
1064942,FALSE,Ramanujan,PurpleJoe,Markus,,
1065222,TRUE,Ramanujan,PurpleJoe,Markus,,
1065232,TRUE,Ramanujan,PurpleJoe,Markus,,
1065244,TRUE,Ramanujan,PurpleJoe,Markus,,
1065259,TRUE,Ramanujan,PurpleJoe,Markus,,
1065278,TRUE,Ramanujan,PurpleJoe,Markus,Yagami,
1065701,TRUE,Ramanujan,PurpleJoe,Yagami,,
1065710,TRUE,Ramanujan,PurpleJoe,Yagami,Nisha,
1065887,TRUE,Ramanujan,PurpleJoe,Markus,,
1065945,TRUE,Ramanujan,PurpleJoe,Markus,,
1066011,TRUE,Ramanujan,PurpleJoe,Markus,,
1066052,FALSE,Ramanujan,PurpleJoe,Markus,Yagami,Hoodie
1066067,,PurpleJoe,Yagami,Hoodie,,
1066689,TRUE,Ramanujan,PurpleJoe,Markus,,
1066713,TRUE,Ramanujan,PurpleJoe,Markus,spring,
1066741,TRUE,Ramanujan,PurpleJoe,Markus,spring,
1067208,TRUE,Ramanujan,PurpleJoe,Markus,,
1067222,TRUE,Ramanujan,PurpleJoe,Markus,Kilda,
1067245,TRUE,Ramanujan,PurpleJoe,Kilda,,
1067578,TRUE,Ramanujan,PurpleJoe,str8tsknacker,,
1067589,TRUE,Ramanujan,PurpleJoe,Markus,str8tsknacker,
1067605,TRUE,Ramanujan,PurpleJoe,Markus,,
1067622,FALSE,Ramanujan,PurpleJoe,Markus,,
1068133,TRUE,Ramanujan,PurpleJoe,Markus,,
1068151,TRUE,Ramanujan,PurpleJoe,Markus,,
1068191,TRUE,Ramanujan,PurpleJoe,Markus,,
1068229,TRUE,Ramanujan,PurpleJoe,Markus,,
1068447,TRUE,Ramanujan,PurpleJoe,Markus,,
1068454,TRUE,Ramanujan,PurpleJoe,Markus,,
1069107,FALSE,Ramanujan,PurpleJoe,Markus,Hoodie,
1069276,TRUE,Ramanujan,Markus,Yagami,,
1070401,TRUE,Ramanujan,PurpleJoe,Markus,,
1070422,FALSE,Ramanujan,PurpleJoe,Markus,,
1072262,FALSE,Ramanujan,PurpleJoe,Markus,,
1072333,TRUE,Ramanujan,PurpleJoe,Markus,,
1072731,TRUE,Ramanujan,PurpleJoe,Markus,,
1072745,TRUE,Ramanujan,PurpleJoe,Markus,,
1080332,TRUE,PurpleJoe,spring,str8tsknacker,,
